time	type	info
63608406985885.328	log	started
63608406989460.008	window	opened main
63608406989941.891	flip	show start
63608406990028.117	experiment	using default block order
63608406990094.898	experiment	Setting nCorrect to 0
63608406997265.664	keyboard	down: response
63608406997297.695	experiment	feedback (y, 1/1)
63608406998857.477	keyboard	down: response
63608406998884.461	experiment	feedback (y, 2/2)
63608407427445.117	log	started
63608407430899.727	window	opened main
63608407431386.188	flip	show start
63608407431467.461	experiment	using default block order
63608407431467.461	experiment	using default block order
63608407431532.461	experiment	Setting nCorrect to 0
63608407434834.695	experiment	run 1 start
63608407434870.055	flip	waiting for scanner
63608407435080.773	experiment	rest
63608407439320.734	flip	block 1, type: level one | same
63608407443019.969	experiment	waiting (for prompt HRF decay)
63608407452279.227	keyboard	down: response
63608407452312.844	experiment	feedback (y, 1/1)
63608407454543.336	keyboard	down: response
63608407454559.773	experiment	feedback (y, 2/2)
63608407455951.148	keyboard	down: response
63608407455960.031	experiment	feedback (n, 2/3)
63608407457383.133	keyboard	down: response
63608407457393.641	experiment	feedback (y, 3/4)
63608407458743.156	keyboard	down: response
63608407458760.656	experiment	feedback (y, 4/5)
63608407461017.367	experiment	rest
63608407465091.359	flip	block 2, type: level one | different
63608407471908.633	window	closed (Usage: Screen('Close', [windowOrTextureIndex or list of textureIndices/offscreenWindowIndices]);)
63608407472280.914	log	ended
63608408827195.852	log	started
63608408830088.547	window	opened main
63608408830330.539	flip	show start
63608408830373.031	experiment	using default block order
63608408830424.094	experiment	Setting nCorrect to 0
63608408877137.000	window	closed
63608408877429.578	log	ended
63608408950448.734	log	started
63608408953493.641	window	opened main
63608408953699.203	flip	show start
63608408953725.789	experiment	using default block order
63608408953759.375	experiment	Setting nCorrect to 0
63608408978176.555	window	closed
63608408978231.570	log	ended
63608409153572.969	log	started
63608409153572.969	log	started
63608409153572.969	log	started
63608409157166.195	window	opened main
63608409157635.891	flip	show start
63608409157714.125	experiment	using default block order
63608409157782.672	experiment	Setting nCorrect to 0
63608409160749.766	experiment	run 1 start
63608409160803.047	flip	waiting for scanner
63608409160964.555	experiment	rest
63608409165287.062	flip	block 1, type: level one | same
63608409168933.445	experiment	waiting (for prompt HRF decay)
63608409176953.523	experiment	trial 1
63608409189457.781	window	closed
63608409189714.750	log	ended
63608409760906.914	log	started
63608409763869.109	window	opened main
63608409764027.891	flip	show start
63608409764037.156	experiment	using default block order
63608409764067.367	experiment	Setting nCorrect to 0
63608409769279.609	experiment	run 1 start
63608409769312.016	flip	waiting for scanner
63608409769361.508	experiment	rest
63608409773479.305	flip	block 1, type: level one | same
63608409777352.000	experiment	waiting (for prompt HRF decay)
63608409785362.000	experiment	trial 1
63608409829511.211	window	closed
63608409829716.117	log	ended
63608409904509.273	log	started
63608409907378.398	window	opened main
63608409907532.711	flip	show start
63608409907540.430	experiment	using default block order
63608409907563.719	experiment	Setting nCorrect to 0
63608409911852.750	experiment	run 1 start
63608409911866.688	flip	waiting for scanner
63608409911911.805	experiment	rest
63608409915950.633	flip	block 1, type: level one | same
63608409919904.477	experiment	waiting (for prompt HRF decay)
63608409927905.156	experiment	trial 1
63608409975587.727	experiment	run 1 start
63608409975642.953	flip	waiting for scanner
63608409975695.250	experiment	rest
63608409979760.242	flip	block 1, type: level one | same
63608409983688.836	experiment	waiting (for prompt HRF decay)
