time	type	info
63608328480532.703	log	started
63608328484090.836	window	opened main
63608328484600.828	flip	show start
63608328484684.172	experiment	using default block order
63608328484707.797	experiment	Setting nCorrect to 0
63608328489094.062	experiment	run 1 start
63608328489151.516	flip	waiting for scanner
63608328489321.633	experiment	rest
63608328493685.531	flip	block 1, type: level one | same
63608328497285.766	experiment	waiting (for prompt HRF decay)
63608328508591.047	keyboard	down: response
63608328508620.180	experiment	feedback (y, 1/1)
63608328515284.281	experiment	rest
63608328519389.461	flip	block 2, type: level one | different
63608328523284.773	experiment	waiting (for prompt HRF decay)
63608328534574.750	keyboard	down: response
63608328534596.539	experiment	feedback (n, 0/1)
63608328537726.703	keyboard	down: response
63608328537746.945	experiment	feedback (n, 0/2)
63608328541283.828	experiment	rest
63608328545360.094	flip	block 3, type: level two | same
63608328549283.891	experiment	waiting (for prompt HRF decay)
63608328558486.539	keyboard	down: response
63608328558500.133	experiment	feedback (y, 1/1)
63608328562230.672	keyboard	down: response
63608328562253.781	experiment	feedback (n, 1/2)
63608328565166.477	keyboard	down: response
63608328565188.234	experiment	feedback (y, 2/3)
63608328567284.328	experiment	rest
63608328571364.055	flip	block 4, type: level two | different
63608328575283.805	experiment	waiting (for prompt HRF decay)
63608328584758.297	keyboard	down: response
63608328584770.828	experiment	feedback (y, 1/1)
63608328588542.250	keyboard	down: response
63608328588557.766	experiment	feedback (n, 1/2)
63608328593283.461	experiment	rest
63608328597351.359	flip	block 5, type: level three | same
63608328601283.781	experiment	waiting (for prompt HRF decay)
63608328612918.102	keyboard	down: response
63608328612941.969	experiment	feedback (y, 1/1)
63608328615982.172	keyboard	down: response
63608328615992.172	experiment	feedback (n, 1/2)
63608328619284.266	experiment	rest
63608328623355.328	flip	block 6, type: level three | different
63608328627284.188	experiment	waiting (for prompt HRF decay)
63608328636533.711	keyboard	down: response
63608328636545.422	experiment	feedback (y, 1/1)
63608328640005.758	keyboard	down: response
63608328640029.367	experiment	feedback (y, 2/2)
63608328642085.930	keyboard	down: response
63608328642099.805	experiment	feedback (n, 2/3)
63608328645283.391	experiment	rest
63608328649359.320	flip	block 7, type: level four | same
63608328653283.438	experiment	waiting (for prompt HRF decay)
63608328663357.789	keyboard	down: response
63608328663369.188	experiment	feedback (y, 1/1)
63608328666333.508	keyboard	down: response
63608328666353.531	experiment	feedback (n, 1/2)
63608328671284.062	experiment	rest
63608328675346.641	flip	block 8, type: level four | different
63608328679284.195	experiment	waiting (for prompt HRF decay)
63608328689837.516	keyboard	down: response
63608328689853.594	experiment	feedback (n, 0/1)
63608328692853.547	keyboard	down: response
63608328692873.719	experiment	feedback (n, 0/2)
63608328694597.492	keyboard	down: response
63608328694624.102	experiment	feedback (y, 1/3)
63608328697283.680	experiment	rest
63608328701450.180	experiment	run 1 end
63608328821935.055	window	closed
63608328822190.633	log	ended
63608335763003.828	log	started
63608335766416.344	window	opened main
63608335766886.383	flip	show start
63608335766961.695	experiment	using default block order
63608335766994.648	experiment	Setting nCorrect to 0
63608336583590.750	window	closed
63608336583850.281	log	ended
63608345252472.422	log	started
63608345256064.289	window	opened main
63608345256549.336	flip	show start
63608345256626.320	experiment	using default block order
63608345256700.883	experiment	Setting nCorrect to 0
63608345339392.164	window	closed
63608345339703.172	log	ended
63608345370466.305	log	started
63608345374031.242	window	opened main
63608345374517.266	flip	show start
63608345374607.539	experiment	using default block order
63608345374677.758	experiment	Setting nCorrect to 0
63608345382162.547	keyboard	down: response
63608345382199.961	experiment	feedback (y)
63608345394210.602	keyboard	down: response
63608345394221.828	experiment	feedback (n)
63608345400507.008	keyboard	down: response
63608345400523.297	experiment	feedback (n)
63608345410882.336	keyboard	down: response
63608345410892.023	experiment	feedback (y)
63608345415722.344	keyboard	down: response
63608345415747.555	experiment	feedback (y)
63608345421794.367	keyboard	down: response
63608345421810.680	experiment	feedback (y)
63608345478209.617	keyboard	down: response
63608345478222.383	experiment	feedback (y)
63608345486762.242	keyboard	down: response
63608345486770.977	experiment	feedback (y)
63608345494289.641	keyboard	down: response
63608345494305.023	experiment	feedback (y)
63608345498897.477	keyboard	down: response
63608345498905.750	experiment	feedback (y)
63608345502188.523	window	closed
63608345502460.891	log	ended
